,Sales_in_thousands,__year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,car_segment,Ltime
0,50.3732,67.55,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,2011-07-11,135.9147096,3,1
1,52.6622,58.6,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,2011-03-17,139.9822936,3,1
2,57.275,40.375,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,2012-03-29,124.4467163,3,1
3,61.938,19.89,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,2011-02-18,103.4416926,3,1
4,64.3548,50.375,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,2011-06-13,125.2738757,3,1
5,67.967,34.08,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,2011-09-25,102.5289842,3,1
6,72.7176,29.725,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,2011-03-10,91.38977933,3,1
7,73.7458,22.525,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,2012-02-23,113.8545976,3,1
8,74.256,60.625,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,2012-12-21,134.3909754,3,1
9,82.5054,36.125,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,2011-04-04,83.9987238,3,1
10,85.1832,58.47,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,2011-08-07,188.144323,3,2
11,87.0676,23.575,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,2012-09-14,100.0248023,3,2
12,87.276,39.0,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,2012-02-27,134.6568582,3,2
13,88.53960000000001,32.075,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,2012-05-10,94.9466984,3,2
14,89.5894,36.225,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,2012-05-12,141.14115,3,2
15,92.3072,25.725,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,2011-11-27,113.7658739,3,2
16,92.7964,41.25,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,2012-02-19,93.4373307,3,2
17,95.7822,21.725,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,2012-06-04,93.9579169,3,2
